Name,sym,z, Pauling_Electronegativity,block,Display_Atomic_Mass,Kiddie_Atomic_Mass,Actual Atomic Mass, Density, Melting_Point, Boiling_Point, Atomic_Radius, Covalent_Radius, Ionic_Radius, Specific_Volume, Specific_Heat, Heat_Fusion, Heat_Evaporation, Thermal_Conductivity, First_Ionisation_Energy, Oxidation_States, Lattice, Lattice_Constant
Hydrogen,H,1,2.20,1s,1.007975,1.008,1.00784--1.00811, 0.0708 (@ -253degC),14.01,20.28,79,32, ,14.1,14.267 (H-H), 0.117 (H-H), 0.904 (H-H),0.1815,1311.3, 1 -1, HEX,3.75
Helium,He,2,-,1s,4.002602(2),4.003,4.002602(2), 0.147 (@ -270degC),0.95,4.216,0, -, ,31.8,5.188, -,0.08,0.152,2361.3, -, HEX,3.57
Lithium,Li,3,0.98,2s,6.9675,6.97,"[6.938,6.997]",0.534,553.69,1118.15,155,163, ,13.1,3.489,2.89,148,84.8,519.9,1, BCC,3.49
Beryllium,Be,4,1.57,2s,9.0121831(5),9.01,9.0121831(5),1.848,1551,3243,112,90, ,5,1.824,12.21,309,201,898.8,2, HEX,2.29
Boron,B,5,2.04,2p,10.8135,10.81,"[10.806,10.821]",2.34,2573,3931,98,82, ,4.6,1.025,23.6,504.5,27.4,800.2,3, TET,8.73
Carbon,C,6,2.55,2p,12.0106,12.01,"[12.0096,12.0116]", 2.25 (graphite),3820,5100,91,77, ,5.3,0.711, -, -,1.59,1085.7, 4 2 -4, DIA,3.57
Nitrogen,N,7,3.04,2p,14.006855,14.01,"[14.00643,14.00728]", 0.808 (@ -195.8degC),63.29,77.4,92,75, ,17.3,1.042 (N-N), -, -,0.026,1401.5, 5 4 3 2 -3, HEX,4.039
Oxygen,O,8,3.44,2p,15.9994,15.9994,"[15.99903,15.99977]", 1.149 (@ -183degC),54.8,90.19, -,73, ,14,0.916 (O-O), -, -,0.027,1313.1, -2 -1, CUB,6.83
Fluorine,F,9,3.98,2p,18.998403163(6),18.998,18.998403163(6), 1.108 (@ -189degC),53.53,85.01, -,72, ,17.1,0.824 (F-F), 0.51 (F-F), 6.54 (F-F),0.028,1680,-1, MCL, -
Neon,Ne,10,-,2p,20.1797(6),20.18,20.1797(6), 1.204 (@ -246degC),48,27.1, -,71, ,16.8,1.029, -,1.74,<0.0493>,2079.4, -, FCC,4.43
Sodium,Na,11,0.93,3s,22.98976928(2),22.990,22.98976928(2),0.971,370.96,1156.1,190,154, ,23.7,1.222,2.64,97.9,142,495.6,1, BCC,4.23
Magnesium,Mg,12,1.31,3s,24.3055,24.306,"[24.304,24.307]",1.738,922,1363,160,136, ,14,1.025,9.2,131.8,156,737.3,2, HEX,3.21
Aluminum,Al,13,1.61,3p,26.9815384(3),26.982,26.9815384(3),2.6989,933.5,2740,143,118, ,10,0.9,10.75,284.1,237,577.2,3, FCC,4.05
Silicon,Si,14,1.90,3p,28.085,28.085,"[28.084,28.086]",2.33,1683,2628,132,111, ,12.1,0.703,50.6,383,149,786, 4 -4, DIA,5.43
Phosphorus,P,15,2.19,3p,30.973761998(5),30.974,30.973761998(5), 1.82 (white phosphorus),317.3,553,128,106, ,17,0.757,2.51,49.8,<0.236>,1011.2, 5 3 -3, CUB,7.17
Sulfur,S,16,2.58,3p,32.0675,32.07,"[32.059,32.076]",2.07,386,717.824,127,102, ,15.5,0.732,1.23,10.5,0.27,999, 6 4 2 -2, ORC,10.47
Chlorine,Cl,17,3.16,3p,35.451,35.451,"[35.446,35.457]", 1.56 (@ -33.6degC),172.2,238.6, -,99, ,18.7, 0.477 (Cl-Cl), 6.41 (Cl-Cl), 20.41 (Cl-Cl),0.009,1254.9, 7 5 3 1 -1, ORC,6.24
Argon,Ar,18,-,3p,39.8775,39.8775,"[39.792,39.963]", 1.40 (@ -186degC),83.8,87.3, -,98, ,24.2,0.138, -,6.52,0.0177,1519.6, -, FCC,5.26
Potassium,K,19,0.82,4s,39.0983(1),39.098,39.0983(1),0.856,336.8,1047,235,203, ,45.3,0.753,102.5,2.33,79,418.5,1, BCC,5.23
Calcium,Ca,20,1.00,4s,40.078(4),40.078,40.078(4),1.55,1112,1757,197,174, ,29.9,0.653,9.2,153.6,<201>,589.4,2, FCC,5.58
Scandium,Sc,21,1.36,3d,44.955908(5),44.956,44.955908(5),2.99,1814,3104,162,144, ,15,0.556,15.8,332.7,15.8,630.8,3, HEX,3.31
Titanium,Ti,22,1.54,3d,47.867(1),47.867,47.867(1),4.54,1933,3560,147,132, ,10.6,0.523,18.8,422.6,21.9,657.8, 4 3, HEX,2.95
Vanadium,V,23,1.63,3d,50.9415(1),50.942,50.9415(1),6.11,2160,3650,134,122, ,8.35,0.485,17.5,460,30.7,650.1, 5 4 3 2 0, BCC,3.02
Chromium,Cr,24,1.66,3d,51.9961(6),51.9961,51.9961(6),7.18,2130,2945,130,118, ,7.23,0.488,21,342,93.9,652.4, 6 3 2 0, BCC,2.88
Manganese,Mn,25,1.55,3d,54.938043(2),49.9380,54.938043(2),7.21,1517,2235,135,117, ,7.39,0.477,-13.4,221,<7.8>,716.8, 7 6 4 3 2 0 -1, CUB,8.89
Iron,Fe,26,1.83,3d,55.845(2),55.845,55.845(2),7.874,1808,3023,126,117, ,7.1,0.443,13.8, ~340,80.4,759.1, 6 3 2 0 -2, BCC,2.87
Cobalt,Co,27,1.88,3d,58.933194(3),58.933,58.933 194(3),8.9,1768,3143,125,116, ,6.7,0.456,15.48,389.1,100,758.1, 3 2 0 -1, HEX,2.51
